"session","year","issue","n_members","asean_mean","asean_sd","asean_min","asean_max","asean_range","us_idealpoint","china_idealpoint","mean_dist_us","mean_dist_china"
36,1981,"Nuclear",9,-0.504062666666667,0.570932433968066,-1.3094,0.4487797,1.7581797,3.306909,0.4757338,3.81097166666667,0.979796466666667
37,1982,"All",9,-0.338570562333333,0.78568486955135,-1.71412,0.3025197,2.0166397,2.654563,0.1867089,2.99313356233333,0.525279462333333
37,1982,"Human Rights",9,-0.269230322222222,0.706600832337422,-1.463225,0.5870837,2.0503087,3.207003,0.03908729,3.47623332222222,0.308317612222222
37,1982,"Middle East",9,-0.274856707777778,0.60162416073129,-1.066378,0.8449516,1.9113296,3.287364,-0.6316076,3.56222070777778,0.356750892222222
37,1982,"Non-Nuclear",9,-0.336213431333333,0.766589234011636,-1.656616,0.2961153,1.9527313,2.630828,0.03060733,2.96704143133333,0.366820761333333
37,1982,"Nuclear",9,-0.400925278888889,0.525567465342318,-1.184137,0.3622875,1.5464245,3.401003,0.6896014,3.80192827888889,1.09052667888889
38,1983,"All",9,-0.359539712222222,0.725750478107757,-1.619061,0.257344,1.876405,2.653316,0.1706566,3.01285571222222,0.530196312222222
38,1983,"Human Rights",9,-0.318366868888889,0.655258865449104,-1.453003,0.3343321,1.7873351,2.967989,-0.07833678,3.28635586888889,0.240030088888889
38,1983,"Important Votes",9,-0.298825746666667,1.06518246686041,-2.177023,0.4994162,2.6764392,2.504208,0.01135141,2.80303374666667,0.310177156666667
38,1983,"Middle East",9,-0.294901321111111,0.515953407563327,-1.09977,0.5186302,1.6184002,2.976955,-0.5689103,3.27185632111111,0.274008978888889
38,1983,"Non-Nuclear",9,-0.360504678888889,0.709771236138911,-1.606693,0.1998776,1.8065706,2.577447,-0.1096046,2.93795167888889,0.250900078888889
38,1983,"Nuclear",9,-0.374244533333333,0.535353006281304,-1.192377,0.3833613,1.5757383,3.619651,0.8240373,3.99389553333333,1.19828183333333
39,1984,"All",10,-0.3838336808,0.603898800605018,-1.563466,0.09402065,1.65748665,2.84451,0.1715943,3.2283436808,0.5554279808
39,1984,"Human Rights",10,-0.358071205,0.497479052263108,-1.315167,0.1065769,1.4217439,3.013395,-0.2104287,3.371466205,0.147642505
39,1984,"Important Votes",10,-0.265013986,1.00593391877872,-2.147412,0.5695812,2.7169932,2.440089,-0.03546739,2.705102986,0.229546596
39,1984,"Middle East",10,-0.406360821,0.537766283527169,-1.342053,0.4181122,1.7601652,3.013022,-0.448782,3.419382821,0.042421179
39,1984,"Non-Nuclear",10,-0.367854877,0.577819274105524,-1.502881,0.06183257,1.56471357,2.760373,-0.02008337,3.128227877,0.347771507
39,1984,"Nuclear",10,-0.3892465,0.49452015453611,-1.195059,0.3321575,1.5272165,3.630322,0.8043541,4.0195685,1.1936006
40,1985,"All",10,-0.4058979669,0.648452431084914,-1.63855,0.003128131,1.641678131,2.85444,0.1814985,3.2603379669,0.5873964669
40,1985,"Human Rights",10,-0.38606101,0.507164883960237,-1.365422,0.1882614,1.5536834,3.10423,-0.1290283,3.49029101,0.25703271
40,1985,"Important Votes",10,-0.3441261783,0.971595022923998,-2.178418,0.2749782,2.4533962,2.309937,0.07718604,2.6540631783,0.4213122183
40,1985,"Middle East",10,-0.4517144721,0.587287466291359,-1.453953,0.3388218,1.7927748,2.916868,-0.4427453,3.3685824721,0.00896917209999998
40,1985,"Non-Nuclear",10,-0.411315889,0.631049337049413,-1.61654,0.03569701,1.65223701,2.773443,-0.02193362,3.184758889,0.389382269
40,1985,"Nuclear",10,-0.34838577,0.370491859000809,-0.8927411,0.2757136,1.1684547,3.67775,0.7968076,4.02613577,1.14519337
41,1986,"All",10,-0.436491157,0.601095187145121,-1.531042,0.06700049,1.59804249,2.985282,0.1866047,3.421773157,0.623095857
41,1986,"Human Rights",10,-0.477859127,0.49914156671668,-1.284925,0.1022054,1.3871304,3.070964,-0.3913312,3.548823127,0.086527927
41,1986,"Important Votes",10,-0.345309271,0.953357668229222,-2.155835,0.267541,2.423376,2.171326,0.002417654,2.516635271,0.347726925
41,1986,"Middle East",10,-0.461435466,0.552634051540846,-1.370776,0.3760512,1.7468272,2.877559,-0.4889138,3.338994466,0.027478334
41,1986,"Non-Nuclear",10,-0.4102657363,0.617890911724768,-1.549374,0.1011857,1.6505597,2.940705,0.008668966,3.3509707363,0.4189347023
41,1986,"Nuclear",10,-0.42543249,0.350794844497662,-0.9281589,0.2648083,1.1929672,3.693312,0.826474,4.11874449,1.25190649
42,1987,"All",10,-0.444972356,0.446976652516236,-1.243326,0.07603314,1.31935914,3.070334,0.1958159,3.515306356,0.640788256
