"session","year","issue","mean_dist_us","mean_dist_china","pct_closer_china"
54,1999,"Non-Nuclear",3.74140138,0.42423762,1
54,1999,"Nuclear",3.07037014,0.82641504,1
55,2000,"All",3.48213535,0.32931129,1
55,2000,"Human Rights",3.371734121,0.645982879,1
55,2000,"Important Votes",4.3611146,0.3647712,1
55,2000,"Middle East",4.03055177,0.11308121,1
55,2000,"Non-Nuclear",3.60003546,0.61552534,1
55,2000,"Nuclear",3.03216443,0.88281673,1
56,2001,"All",3.54406132,0.43844468,1
56,2001,"Human Rights",3.33972114,0.42339346,1
56,2001,"Important Votes",4.20057293,0.27853767,1
56,2001,"Middle East",4.04022801,0.08186327,1
56,2001,"Non-Nuclear",3.65983052,0.45406448,1
56,2001,"Nuclear",3.06388838,0.92331288,1
57,2002,"All",3.54723813,0.39469439,1
57,2002,"Human Rights",3.384429206,0.368351794,1
57,2002,"Important Votes",3.97844412,0.24791968,1
57,2002,"Middle East",3.93970366,0.04619534,1
57,2002,"Non-Nuclear",3.67241533,0.47557107,1
57,2002,"Nuclear",3.19163402,0.86251172,1
58,2003,"All",3.74968711,0.38553527,1
58,2003,"Human Rights",3.473009921,0.426449079,1
58,2003,"Important Votes",3.757733698,0.729644502,1
58,2003,"Middle East",3.7880365,0.2124458,1
58,2003,"Non-Nuclear",3.91644497,0.68792163,1
58,2003,"Nuclear",3.1864076,0.7842086,1
59,2004,"All",3.5936702,0.34741182,1
59,2004,"Human Rights",3.241235363,0.526289437,1
59,2004,"Important Votes",3.42344844,0.81516476,1
59,2004,"Middle East",3.60509922,0.23379428,1
59,2004,"Non-Nuclear",3.729864845,0.618249955,1
59,2004,"Nuclear",3.21527384,0.74484555,1
60,2005,"All",3.72520942,0.33114744,1
60,2005,"Human Rights",3.31019476,0.51668784,1
60,2005,"Important Votes",3.30969747,0.41677673,1
60,2005,"Middle East",3.487928457,0.239454223,1
60,2005,"Non-Nuclear",3.81232086,0.56170554,1
60,2005,"Nuclear",3.15200569,0.76604586,1
61,2006,"All",3.66070334,0.30279372,1
61,2006,"Human Rights",3.182631169,0.515316031,1
61,2006,"Important Votes",3.18244896,0.54107284,1
61,2006,"Middle East",3.421677995,0.218773925,1
61,2006,"Non-Nuclear",3.6621793,0.4307259,1
61,2006,"Nuclear",3.27547105,0.75659504,1
62,2007,"All",3.50339241,0.31927019,1
62,2007,"Human Rights",2.95232208,0.58479992,1
62,2007,"Important Votes",3.01418495,0.62259225,1
62,2007,"Middle East",3.26162723,0.22661759,1
62,2007,"Non-Nuclear",3.48935981,0.50493219,1
62,2007,"Nuclear",3.33434651,0.85213271,1
63,2008,"All",3.51920491,0.29745605,1
63,2008,"Human Rights",2.88686938,0.65188962,1
63,2008,"Important Votes",2.92126681,0.61867819,1
63,2008,"Middle East",3.242271244,0.252064956,1
63,2008,"Non-Nuclear",3.48405528,0.55663492,1
63,2008,"Nuclear",3.3193822,0.9212141,1
64,2009,"All",3.40933726,0.32763172,1
64,2009,"Human Rights",2.9279775,0.5027777,1
64,2009,"Important Votes",2.95952262,0.49311318,1
64,2009,"Middle East",3.275329296,0.182199904,1
64,2009,"Non-Nuclear",3.41818782,0.42006258,1
64,2009,"Nuclear",3.18736464,0.85037794,1
65,2010,"All",3.41045739,0.25811245,1
65,2010,"Human Rights",2.73665698,0.56365502,1
65,2010,"Important Votes",2.76324368,0.75307432,1
65,2010,"Middle East",3.22051485,0.19595885,1
65,2010,"Non-Nuclear",3.44936413,0.52028487,1
65,2010,"Nuclear",3.12648952,0.75631552,1
66,2011,"All",3.32510951,0.23157915,1
66,2011,"Human Rights",2.9128525,0.4970965,1
66,2011,"Important Votes",2.98767469,0.73475651,1
66,2011,"Middle East",3.152878791,0.156115929,1
66,2011,"Non-Nuclear",3.40653388,0.42996752,1
66,2011,"Nuclear",2.97070587,0.80035087,1
67,2012,"All",3.33642242,0.20720328,1
67,2012,"Human Rights",2.84182295,0.59077605,1
67,2012,"Important Votes",3.081444259,0.772476741,1
67,2012,"Middle East",3.13352272,0.18112696,1
67,2012,"Non-Nuclear",3.36613107,0.63236393,1
